County,Male,Female,Intersex,Total_Population,NumberOfHouseholds
Mombasa,610257,598046,30,1208333,378422
Kwale,425121,441681,18,866820,173176
Kilifi,704089,749673,25,1453787,298472
Tana River,158550,157391,2,315943,68242
Lamu,76103,67813,4,143920,37963
Taita Taveta,173337,167327,7,340671,96429
Garissa,458975,382344,34,841353,141394
Wajir,415374,365840,49,781263,127932
Mandera,434976,432444,37,867457,125763
Marsabit,243548,216219,18,459785,77495
Isiolo,139510,128483,9,268002,58072
Meru,767698,777975,41,1545714,426360
Tharaka,193764,199406,7,393177,109860
Embu,304208,304367,24,608599,182743
Kitui,549003,587151,33,1136187,262942
Machakos,710707,711191,34,1421932,402466
Makueni,489691,497942,20,987653,244669
Nyandarua,315022,323247,20,638289,179686
Nyeri,374288,384845,31,759164,248050
Kirinyaga,302011,308369,31,610411,204188
Murang'a,523940,532669,31,1056640,318105
Kiambu,1187146,1230454,135,2417735,795241
Turkana,478087,448868,21,926976,164519
West Pokot,307013,314213,15,621241,116182
Samburu,156774,153546,7,310327,65910
Trans Nzoia,489107,501206,28,990341,223808
Uasin Gishu,580269,582889,28,1163186,304943
Elgeyo-Marakwet,227317,227151,12,454480,99861
Nandi,441259,444430,22,885711,199426
Baringo,336322,330428,13,666763,142518
Laikipia,259440,259102,18,518560,149271
Nakuru,1077272,1084835,95,2162202,616046
Narok,579042,578805,26,1157873,241125
Kajiado,557098,560704,38,1117840,316179
Kericho,450741,451008,28,901777,206036
Bomet,434287,441379,23,875689,187641
Kakamega,897133,970406,40,1867579,433207
Vihiga,283678,306323,12,590013,143365
Bungoma,812146,858389,35,1670570,358796
Busia,426252,467401,28,893681,198152
Siaya,471669,521496,18,993183,250698
Kisumu,560942,594609,23,1155574,300745
Homa Bay,539560,592367,23,1131950,262036
Migori,536187,580214,35,1116436,240168
Kisii,605784,661038,38,1266860,308054
Nyamira,290907,314656,13,605576,150669
Nairobi,2192452,2204376,245,4397073,1506888
